what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1355367035430
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1355367035447
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1355367035486
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1355367035506
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1355367035506
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1355367035517
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1355367035523
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1355367035545
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1355367035565
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1355367035582
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1355367035615
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1355367035618
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1355367035620
started,bundle,org.deved.antlride.core,2.1.2.201108281759,"org.deved.antlride.core",1355367035620
started,bundle,org.deved.antlride.integration.jdt,2.1.2.201108281759,"org.deved.antlride.integration.jdt",1355367035620
started,bundle,org.deved.antlride.ui,2.1.2.201108281759,"org.deved.antlride.ui",1355367035654
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1355367035675
os,sysinfo,,,"win32",1355367035683
arch,sysinfo,,,"x86",1355367035683
ws,sysinfo,,,"win32",1355367035683
locale,sysinfo,,,"en_US",1355367035684
processors,sysinfo,,,"2",1355367035684
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1355367035684
java.runtime.version,sysinfo,,,"1.7.0_04-b20",1355367035684
java.specification.name,sysinfo,,,"Java Platform API Specification",1355367035684
java.specification.vendor,sysinfo,,,"Oracle Corporation",1355367035684
java.specification.version,sysinfo,,,"1.7",1355367035684
java.vendor,sysinfo,,,"Oracle Corporation",1355367035684
java.version,sysinfo,,,"1.7.0_04",1355367035684
java.vm.info,sysinfo,,,"mixed mode, sharing",1355367035684
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1355367035684
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1355367035684
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1355367035684
java.vm.specification.version,sysinfo,,,"1.7",1355367035684
java.vm.vendor,sysinfo,,,"Oracle Corporation",1355367035684
java.vm.version,sysinfo,,,"23.0-b21",1355367035684
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1355367035824
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1355367036278
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1355367036638
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1355367036692
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1355367036751
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201110191514,"org.eclipse.wb.core.lib",1355367037282
started,bundle,org.eclipse.wb.core,1.2.0.r37x201110191514,"org.eclipse.wb.core",1355367037481
started,bundle,com.google.gdt.eclipse.designer,2.4.2.r37x201110201842,"com.google.gdt.eclipse.designer",1355367037939
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.4.2.r37x201110201842,"com.google.gdt.eclipse.designer.UiBinder",1355367037976
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1355367038146
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1355367038168
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1355367038170
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1355367038253
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1355367038317
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1355367038961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367041833
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1355367059553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367089868
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1355367089892
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367097123
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367101287
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367103385
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367103500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367104398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367108318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367110310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367132938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1355367132954
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367146767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367149639
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367151806
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367158048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367163674
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1355367169216
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1355367173304
started,bundle,net.sourceforge.pmd.eclipse,1.8.0,"net.sourceforge.pmd.eclipse",1355367178652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367183035
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367188572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367193480
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1355367193764
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355367193820
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1355367194526
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1355367194661
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1355367195709
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1355367195829
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1355367195890
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1355367196211
